nb_episodes,epsilon_rate,epsilon_min,epsilon_max,learning_rate,reward_discount_rate,decay_rate,avg_rewards,avg_steps
20000,1.0,0.01,1.0,0.6,0.5,0.1,6.95,28.87
20000,1.0,0.01,1.0,0.6,0.382,0.01,7.61,50.6
20000,1.0,0.01,1.0,0.6,0.382,0.03,7.58,50.12
20000,1.0,0.01,1.0,0.6,0.382,0.05,7.58,51.57
20000,1.0,0.01,1.0,0.6,0.382,0.07,7.35,49.06
20000,1.0,0.01,1.0,0.6,0.382,0.1,7.46,45.97
20000,1.0,0.01,1.0,0.6,0.2,0.01,7.87,85.87
20000,1.0,0.01,1.0,0.6,0.2,0.03,7.8,77.26
20000,1.0,0.01,1.0,0.6,0.2,0.05,7.83,77.63
20000,1.0,0.01,1.0,0.6,0.2,0.07,7.96,75.88
20000,1.0,0.01,1.0,0.6,0.2,0.1,7.91,75.08
20000,1.0,0.01,1.0,0.6,0.1,0.01,8.06,84.94
20000,1.0,0.01,1.0,0.6,0.1,0.03,7.83,76.13
20000,1.0,0.01,1.0,0.6,0.1,0.05,7.83,75.08
20000,1.0,0.01,1.0,0.6,0.1,0.07,7.91,75.07
20000,1.0,0.01,1.0,0.6,0.1,0.1,8.03,77.28
20000,1.0,0.01,1.0,0.7,0.9,0.01,6.95,14.05
20000,1.0,0.01,1.0,0.7,0.9,0.03,6.98,14.02
20000,1.0,0.01,1.0,0.7,0.9,0.05,7.0,14.0
20000,1.0,0.01,1.0,0.7,0.9,0.07,6.84,14.16
20000,1.0,0.01,1.0,0.7,0.9,0.1,6.82,14.18
20000,1.0,0.01,1.0,0.7,0.786,0.01,7.06,13.94
20000,1.0,0.01,1.0,0.7,0.786,0.03,6.86,14.14
20000,1.0,0.01,1.0,0.7,0.786,0.05,6.83,14.17
20000,1.0,0.01,1.0,0.7,0.786,0.07,6.87,14.13
20000,1.0,0.01,1.0,0.7,0.786,0.1,6.86,14.14
20000,1.0,0.01,1.0,0.7,0.618,0.01,7.17,27.9
20000,1.0,0.01,1.0,0.7,0.618,0.03,7.09,21.1
20000,1.0,0.01,1.0,0.7,0.618,0.05,7.08,19.63
20000,1.0,0.01,1.0,0.7,0.618,0.07,6.88,19.24
20000,1.0,0.01,1.0,0.7,0.618,0.1,6.78,18.1
20000,1.0,0.01,1.0,0.7,0.5,0.01,6.99,37.67
20000,1.0,0.01,1.0,0.7,0.5,0.03,6.75,27.78
20000,1.0,0.01,1.0,0.7,0.5,0.05,6.75,22.04
