nb_episodes,epsilon_rate,epsilon_min,epsilon_max,learning_rate,reward_discount_rate,decay_rate,avg_rewards,avg_steps,duration
20000,1.0,0.01,1.0,0.6,0.9,0.05,6.41,19.47,5108.5930869579315
20000,1.0,0.01,1.0,0.6,0.9,0.07,5.88,17.59,5122.880960702896
20000,1.0,0.01,1.0,0.6,0.9,0.1,6.16,35.63,5140.736619949341
20000,1.0,0.01,1.0,0.6,0.786,0.01,6.16,58.68,5176.352690935135
20000,1.0,0.01,1.0,0.6,0.786,0.03,5.52,52.08,5208.553820371628
20000,1.0,0.01,1.0,0.6,0.786,0.05,6.75,44.26,5238.190250635147
20000,1.0,0.01,1.0,0.6,0.786,0.07,5.97,40.01,5266.232466936111
20000,1.0,0.01,1.0,0.6,0.786,0.1,5.19,63.59,5300.023643016815
20000,1.0,0.01,1.0,0.6,0.618,0.01,5.29,82.01,5345.992532014847
20000,1.0,0.01,1.0,0.6,0.618,0.03,7.05,80.95,5390.751338720322
20000,1.0,0.01,1.0,0.6,0.618,0.05,8.18,90.39,5437.386919260025
20000,1.0,0.01,1.0,0.6,0.618,0.07,9.25,88.52,5483.502746343613
20000,1.0,0.01,1.0,0.6,0.618,0.1,5.5,79.21,5526.558585643768
20000,1.0,0.01,1.0,0.6,0.5,0.01,9.14,88.72,5576.446356534958
20000,1.0,0.01,1.0,0.6,0.5,0.03,5.96,78.14,5621.991087675095
20000,1.0,0.01,1.0,0.6,0.5,0.05,6.03,68.58,5665.219677448273
20000,1.0,0.01,1.0,0.6,0.5,0.07,5.59,80.26,5710.078139543533
20000,1.0,0.01,1.0,0.6,0.5,0.1,7.15,63.57,5751.486517906189
20000,1.0,0.01,1.0,0.6,0.382,0.01,11.31,95.41,5800.4863069057465
20000,1.0,0.01,1.0,0.6,0.382,0.03,9.98,88.39,5848.365986585617
20000,1.0,0.01,1.0,0.6,0.382,0.05,9.38,87.32,5895.612627744675
20000,1.0,0.01,1.0,0.6,0.382,0.07,6.5,90.29,5943.630694627762
20000,1.0,0.01,1.0,0.6,0.382,0.1,11.5,98.42,5991.828450679779
20000,1.0,0.01,1.0,0.6,0.2,0.01,9.26,92.8,6041.432462930679
20000,1.0,0.01,1.0,0.6,0.2,0.03,6.66,80.66,6089.081278085709
20000,1.0,0.01,1.0,0.6,0.2,0.05,6.18,87.13,6136.808027505875
20000,1.0,0.01,1.0,0.6,0.2,0.07,5.24,79.31,6182.826722621918
20000,1.0,0.01,1.0,0.6,0.2,0.1,10.84,95.1,6234.995536565781
20000,1.0,0.01,1.0,0.6,0.1,0.01,8.93,89.93,6284.877242803574
20000,1.0,0.01,1.0,0.6,0.1,0.03,0.52,91.99,6334.269289016724
20000,1.0,0.01,1.0,0.6,0.1,0.05,9.12,94.76,6385.228993654251
